mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
7.261450099945068,2.071735255717539,0.013870477676391602,0.0008321808342299073,1000000,l2,"{'C': 1000000, 'penalty': 'l2'}",0.9933146668146279,0.9934670357579796,0.9933383506309937,0.9924193235409803,0.9929235625950158,0.9930925878679193,0.00038256607624422587,9,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.02689075469970703,0.011413182752754944,0.0,0.0,1000000,l1,"{'C': 1000000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.016982603073120116,0.0002992517479530945,0.0,0.0,1000000,elasticnet,"{'C': 1000000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
6.66122612953186,3.2006374161287034,0.015147256851196288,0.0011591214222192222,10000000,,"{'C': 10000000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
6.39323878288269,2.4768461314113095,0.01392359733581543,0.0008282006467882084,10000000,l2,"{'C': 10000000, 'penalty': 'l2'}",0.9933154788555808,0.9934536047933319,0.9933346292355543,0.9924411912848653,0.9929111870475993,0.9930912182433863,0.0003730447756321166,10,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.023978662490844727,0.009104626834465774,0.0,0.0,10000000,l1,"{'C': 10000000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.0139923095703125,5.565427111844543e-05,0.0,0.0,10000000,elasticnet,"{'C': 10000000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.965664911270141,2.745240110004562,0.012916326522827148,0.0002826523598921316,100000000,,"{'C': 100000000, 'penalty': None}",0.9933147152946847,0.9934431557937593,0.9933383869964213,0.9925268682326365,0.992911599161813,0.993106945095863,0.0003418832091322877,1,2024-05-15--16-33-36,2024-05-15--16-40-42,2
5.361040878295898,2.6337422432930038,0.013370561599731445,0.0012693972381453945,100000000,l2,"{'C': 100000000, 'penalty': 'l2'}",0.9933150304150544,0.9934441376603085,0.9933189314925767,0.9924046319081707,0.9929115506777879,0.9930788564307796,0.0003819461963843847,12,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.023433351516723634,0.009502159338188166,0.0,0.0,100000000,l1,"{'C': 100000000, 'penalty': 'l1'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
0.013016414642333985,0.000247905451087524,0.0,0.0,100000000,elasticnet,"{'C': 100000000, 'penalty': 'elasticnet'}",,,,,,,,15,2024-05-15--16-33-36,2024-05-15--16-40-42,2
