mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.0006888866424560547,1.652610553020259e-05,0.008084249496459962,6.0870537190559564e-05,26,uniform,"{'n_neighbors': 26, 'weights': 'uniform'}",0.8110973187686197,0.8029046673286991,0.8610781990521327,0.7975804440009978,0.8746071339486157,0.829453552619813,0.031926959934241265,79,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006892204284667969,1.0673486138281016e-05,0.008337068557739257,0.00019011422748672273,26,distance,"{'n_neighbors': 26, 'weights': 'distance'}",0.8115690168818271,0.8063555114200595,0.8644845971563981,0.7982539286605139,0.8767273634322774,0.8314780835102151,0.032460087197838515,73,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007587432861328125,0.0001466354972664889,0.009546327590942382,0.0016718246793334844,28,uniform,"{'n_neighbors': 28, 'weights': 'uniform'}",0.8077706057596823,0.8122393247269116,0.8648301737756714,0.796732352207533,0.8714642055375406,0.8306073324014678,0.03113487121208215,75,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007281780242919921,3.0492011924468644e-05,0.00849771499633789,5.33393037645419e-05,28,distance,"{'n_neighbors': 28, 'weights': 'distance'}",0.8099801390268124,0.8148460774577955,0.8667061611374407,0.7981042654028437,0.8742828635569967,0.8327839013163778,0.03136028642997963,69,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007249355316162109,3.652417002816038e-05,0.008887529373168945,0.00021538439379806268,30,uniform,"{'n_neighbors': 30, 'weights': 'uniform'}",0.8110724925521351,0.8132820258192651,0.8617940363349131,0.798328760289349,0.8700673484659516,0.8309089326923228,0.029164810954532595,74,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007253646850585938,3.5839824354123626e-05,0.00879530906677246,0.00011502478589438164,30,distance,"{'n_neighbors': 30, 'weights': 'distance'}",0.8106007944389275,0.8149453823237339,0.8640649684044234,0.799800448989773,0.8729857819905213,0.8324794752294757,0.02997480311749074,70,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.000736236572265625,1.0969327647789467e-05,0.008892488479614259,8.410404539110021e-05,32,uniform,"{'n_neighbors': 32, 'weights': 'uniform'}",0.810948361469712,0.8161618669314796,0.8627073459715641,0.801471688700424,0.8762035420304315,0.8334985610207223,0.030038846627988898,67,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007234096527099609,8.790870321632836e-05,0.009202384948730468,0.0006617203889293213,32,distance,"{'n_neighbors': 32, 'weights': 'distance'}",0.811146971201589,0.8180734856007945,0.8647808056872037,0.8030431529059616,0.8782239960089797,0.8350536822809056,0.03043652331716929,65,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007156848907470704,3.6528776454811965e-05,0.008836698532104493,0.00011947044376994677,34,uniform,"{'n_neighbors': 34, 'weights': 'uniform'}",0.8113952333664349,0.8173535253227407,0.8629295023696683,0.800473933649289,0.8751309553504614,0.8334566300117189,0.02979688929861073,68,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.00068817138671875,1.6230404967883916e-05,0.008861637115478516,5.7693867542132145e-05,34,distance,"{'n_neighbors': 34, 'weights': 'distance'}",0.8102284011916584,0.8186196623634558,0.864731437598736,0.8013719131953106,0.8770765777001747,0.8344055984098672,0.03054644331881192,66,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006851673126220704,2.004157410528143e-05,0.00903477668762207,0.00026469327290447385,36,uniform,"{'n_neighbors': 36, 'weights': 'uniform'}",0.8136792452830188,0.8173783515392254,0.8635219194312796,0.8019955101022699,0.8790471439261661,0.8351244340563919,0.030357756130883626,64,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006699085235595704,1.292518991331115e-05,0.008968544006347657,7.977891798790902e-05,36,distance,"{'n_neighbors': 36, 'weights': 'distance'}",0.8135551142005959,0.8187189672293943,0.8653732227488152,0.8035669743078074,0.8802195061112497,0.8362867569195724,0.030568113894832348,63,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007125377655029297,7.971550773994856e-05,0.00958719253540039,0.0007576296420491847,38,uniform,"{'n_neighbors': 38, 'weights': 'uniform'}",0.8137040714995034,0.818545183714002,0.8660643759873617,0.8054627089049639,0.8803192816163632,0.836819124344439,0.030328256757492254,61,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007391929626464844,6.77440454613104e-05,0.009471893310546875,0.00015294911424211356,38,distance,"{'n_neighbors': 38, 'weights': 'distance'}",0.8135054617676266,0.8195134061569017,0.8670023696682464,0.8057121476677476,0.881167373409828,0.83738015173407,0.030616598365852076,56,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007029533386230469,1.4579525171447112e-05,0.009415769577026367,5.9244709430485105e-05,40,uniform,"{'n_neighbors': 40, 'weights': 'uniform'}",0.8147964250248263,0.8210526315789474,0.8645586492890995,0.8019456223497132,0.8790970316787229,0.8362900719842618,0.030017481345193525,62,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006927013397216797,1.6018889947752747e-05,0.009433460235595704,5.203283252478396e-05,40,distance,"{'n_neighbors': 40, 'weights': 'distance'}",0.8143495531281033,0.8222442899702085,0.8665086887835703,0.8028186580194562,0.8805188326265901,0.8372880045055856,0.03053972703054623,58,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006861209869384766,1.238069826638629e-05,0.009491682052612305,0.00016120883395058692,42,uniform,"{'n_neighbors': 42, 'weights': 'uniform'}",0.8150446871896723,0.8208043694141013,0.8655460110584519,0.8058867548016962,0.8771514093290097,0.8368866463585863,0.02877260645356567,60,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.000696563720703125,1.5012875458081245e-05,0.00956430435180664,5.6463962908946566e-05,42,distance,"{'n_neighbors': 42, 'weights': 'distance'}",0.8152929493545183,0.8217974180734856,0.8677922590837283,0.8064105762035421,0.879171863307558,0.8380930132045664,0.02952518680090345,47,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006886005401611328,1.608108130781651e-05,0.009756374359130859,0.00023597660705962313,44,uniform,"{'n_neighbors': 44, 'weights': 'uniform'}",0.8143247269116187,0.820953326713009,0.8690758293838863,0.8060613619356448,0.8751060114741831,0.8371042512836684,0.02901632526000937,59,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007152557373046875,3.397276521788955e-05,0.009829425811767578,8.535686146633497e-05,44,distance,"{'n_neighbors': 44, 'weights': 'distance'}",0.8148957298907646,0.8224925521350546,0.8703593996840443,0.8064355200798204,0.8781741082564231,0.8384714620092215,0.029767710591094357,43,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006912708282470703,1.7418986047757644e-05,0.009855508804321289,6.251333325441796e-05,46,uniform,"{'n_neighbors': 46, 'weights': 'uniform'}",0.8163108242303873,0.8187189672293942,0.8716923380726699,0.8025193315041158,0.8803192816163632,0.837912148530586,0.031708399704513335,52,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0006859302520751953,1.0945464338758725e-05,0.009917545318603515,3.73575058064974e-05,46,distance,"{'n_neighbors': 46, 'weights': 'distance'}",0.8164349553128103,0.8203078450844091,0.8724822274881517,0.802868545772013,0.8828136692442006,0.838981448580317,0.0322637732795937,32,2023-12-06--15-06-00,2023-12-06--15-06-06,53
0.0007468223571777344,0.0001187208277209014,0.01066436767578125,0.0012311672773743473,48,uniform,"{'n_neighbors': 48, 'weights': 'uniform'}",0.8163853028798411,0.8187437934458789,0.871667654028436,0.800673484659516,0.8817161386879521,0.8378372747403248,0.03248305614293892,53,2023-12-06--15-06-00,2023-12-06--15-06-06,53
