mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,start_time,end_time,ID
0.408415412902832,0.14888440624282712,0.0024104595184326174,0.0003845279237514547,0.0001,"(100,)","{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.8951837140019862,0.8990069513406158,0.8892673775671406,0.8927413320029932,0.7979047143926167,0.8748208178610705,0.038588991899654215,9,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.3507509708404541,0.04628283239527093,0.002201414108276367,0.00015548932246527389,0.0001,"(50,)","{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.8972194637537239,0.8842105263157896,0.9083234597156399,0.8597904714392616,0.7985033674232975,0.8696094577295425,0.03905577078154716,18,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.21209397315979003,0.041700078763819926,0.00205230712890625,3.165674453439654e-05,0.0001,"(25,)","{'alpha': 0.0001, 'hidden_layer_sizes': (25,)}",0.8661370407149951,0.8600297914597816,0.8828001579778831,0.8548266400598653,0.8370416562733849,0.860167057297182,0.014907857117117135,41,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.23083267211914063,0.07158370770835977,0.0020617008209228515,5.0101405241880946e-05,0.0001,"(10,)","{'alpha': 0.0001, 'hidden_layer_sizes': (10,)}",0.8679245283018866,0.8807845084409137,0.8528337282780412,0.8446994262908456,0.8646545273135445,0.8621793437250463,0.012475366730586057,36,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.36318411827087405,0.051101036290181576,0.002467966079711914,0.0004606277947489363,0.0001,"(50, 50)","{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",0.8748262164846077,0.8223932472691161,0.8953890205371249,0.8925417809927663,0.7598403591918184,0.8489981248950865,0.05171495373423805,51,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.21747407913208008,0.06636933056703857,0.0022736549377441405,0.00017834351012995255,0.0001,"(25, 25)","{'alpha': 0.0001, 'hidden_layer_sizes': (25, 25)}",0.8854518371400197,0.8702333664349552,0.9001283570300159,0.8486405587428287,0.5559491144923921,0.8120806467680424,0.12919555615663605,57,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.39910192489624025,0.11928748675084681,0.002413225173950195,0.00012303261763586086,0.001,"(100,)","{'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.895134061569017,0.8989572989076465,0.8719391785150079,0.8822649039660763,0.7978548266400598,0.8692300539195615,0.03694968591989376,21,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.37634892463684083,0.037600672899724255,0.002097415924072266,4.450385342451122e-05,0.001,"(50,)","{'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.8938927507447865,0.893992055610725,0.9081259873617693,0.8602893489648291,0.798403591918184,0.8709407469200589,0.03953730024368685,15,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.22339749336242676,0.037655777469253415,0.002306032180786133,0.00037710757625349767,0.001,"(25,)","{'alpha': 0.001, 'hidden_layer_sizes': (25,)}",0.8784011916583913,0.8947120158887787,0.8885268562401264,0.8653280119730606,0.8372412072836118,0.8728418566087939,0.020391632500341948,13,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.24298982620239257,0.07014482898870518,0.0022964000701904295,0.0002656804425166668,0.001,"(10,)","{'alpha': 0.001, 'hidden_layer_sizes': (10,)}",0.8655908639523335,0.8782770605759682,0.8527349921011058,0.843651783487154,0.8645048640558742,0.8609519128344871,0.011841590567931333,37,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.3954045295715332,0.08692282999408783,0.002332639694213867,0.00010623953286770917,0.001,"(50, 50)","{'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.8686196623634559,0.87720953326713,0.8645339652448657,0.8923422299825392,0.6675979047143926,0.8340606591144768,0.08377513060333905,56,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.22634439468383788,0.05570530896049172,0.0022598743438720704,0.00019725771758089997,0.001,"(25, 25)","{'alpha': 0.001, 'hidden_layer_sizes': (25, 25)}",0.8825223435948362,0.8702333664349552,0.8987460505529227,0.8483911199800449,0.7866300823147916,0.8573045925755102,0.03897388611256917,48,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.37743492126464845,0.052854348262920535,0.0022693157196044924,5.364182784962369e-05,0.01,"(100,)","{'alpha': 0.01, 'hidden_layer_sizes': (100,)}",0.8951340615690169,0.899056603773585,0.8684834123222749,0.8869543527064105,0.7967074083312546,0.8692671677405084,0.037775325718268866,20,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.34881176948547366,0.04338577235506568,0.002516365051269531,0.0003926080548707912,0.01,"(50,)","{'alpha': 0.01, 'hidden_layer_sizes': (50,)}",0.899106256206554,0.8850049652432971,0.907138625592417,0.8906460463956098,0.8467448241456723,0.8857281435167101,0.02088918661213062,2,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.2055647850036621,0.03025161238805671,0.0020752429962158205,4.09423502307471e-05,0.01,"(25,)","{'alpha': 0.01, 'hidden_layer_sizes': (25,)}",0.8726415094339621,0.894811320754717,0.8928712480252765,0.8529309054627089,0.8301322025442754,0.868677437244188,0.024567143085817818,23,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.2129946231842041,0.03980275441419841,0.0022736549377441405,0.00020847517965416935,0.01,"(10,)","{'alpha': 0.01, 'hidden_layer_sizes': (10,)}",0.8673783515392255,0.8780536246276067,0.8527843601895735,0.8324270391618858,0.8638563232726365,0.8588999397581857,0.015501791040972566,46,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.3875234127044678,0.1024538175094012,0.0023285388946533204,8.534926929642148e-05,0.01,"(50, 50)","{'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.8665342601787487,0.8743296921549156,0.8910939968404422,0.8926914442504366,0.7777500623596908,0.8604798911568468,0.042538228840076825,39,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.237069034576416,0.07967055604629857,0.00215001106262207,5.28137569301723e-05,0.01,"(25, 25)","{'alpha': 0.01, 'hidden_layer_sizes': (25, 25)}",0.8793445878848063,0.8696871896722939,0.8999802527646129,0.8602145173359941,0.8086305811923173,0.8635714257700048,0.030468223221827677,31,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.33257718086242677,0.03011592700234373,0.0022918224334716798,5.564397478973976e-05,0.1,"(100,)","{'alpha': 0.1, 'hidden_layer_sizes': (100,)}",0.8909632571996028,0.8979890764647467,0.8908965244865719,0.8723122973310052,0.7804938887503119,0.8665310088464476,0.04385437825635071,28,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.3908411979675293,0.1228654073113099,0.0021151065826416015,4.9287435046758856e-05,0.1,"(50,)","{'alpha': 0.1, 'hidden_layer_sizes': (50,)}",0.8804369414101291,0.8838133068520357,0.9040284360189573,0.8919431279620853,0.7868795210775754,0.8694202666641566,0.042063062364581766,19,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.28189692497253416,0.11982226226050055,0.002240753173828125,0.00032333369579107854,0.1,"(25,)","{'alpha': 0.1, 'hidden_layer_sizes': (25,)}",0.8844091360476662,0.8893247269116188,0.8824545813586099,0.8523821401845847,0.7887253679221752,0.8594591904849309,0.03767385392115757,42,2023-10-31--11-55-13,2023-10-31--11-57-39,8
0.22261276245117187,0.05637254075553105,0.0021352767944335938,0.00018107466507505412,0.1,"(10,)","{'alpha': 0.1, 'hidden_layer_sizes': (10,)}",0.8544190665342601,0.8832174776564051,0.852981832543444,0.8444000997755052,0.8662509353953605,0.8602538823809949,0.013428042005722299,40,2023-10-31--11-55-13,2023-10-31--11-57-39,8
